student_id,precision_at_5,recall_at_5,ndcg_at_5,baseline_skill_precision_at_5,baseline_random_precision_at_5
1,0.4,0.2222222222222222,0.4703652827859579,0.4,0.2
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.2,0.0
5,0.0,0.0,0.0,0.0,0.2
6,0.0,0.0,0.0,0.0,0.0
7,0.2,0.125,0.16958010263680806,0.0,0.2
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.4,0.2222222222222222,0.4703652827859579,0.4,0.0
14,0.0,0.0,0.0,0.0,0.2
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.2,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.2,0.125,0.16958010263680806,0.0,0.2
20,0.0,0.0,0.0,0.0,0.0
